,iso3,ISO_A3,ISO_N3,name_abbrev,GEOUNIT,NAME_LONG,population,DTP1-16,name,id,lat,lon,amt,amt_refugee
204,TUV,TUV,798.0,Tuv.,Tuvalu,Tuvalu,,99.0,Tuvalu,798.0,8.533,179.217,195.5,3
205,TZA,TZA,834.0,Tanz.,Tanzania,Tanzania,25789500.0,99.0,Tanzania,834.0,,,233.25,2254
206,TZA,-99,-99.0,Zan.,Zanzibar,Zanzibar,25789500.0,99.0,,,,,,
207,UGA,UGA,800.0,Uga.,Uganda,Uganda,20574240.0,89.0,Uganda,800.0,,,125.0,13308
208,UKR,UKR,804.0,Ukr.,Ukraine,Ukraine,6633450.0,42.0,Ukraine,804.0,,,129.0,339540
209,URY,URY,858.0,Ury.,Uruguay,Uruguay,725970.0,97.0,Uruguay,858.0,,,217.5,182
210,USA,USA,840.0,U.S.A.,United States of America,United States,61647210.0,97.0,United States,840.0,39.828,-98.58,46.75,5184
211,UZB,UZB,860.0,Uzb.,Uzbekistan,Uzbekistan,8935080.0,99.0,Uzbekistan,860.0,,,168.5,7055
212,VCT,VCT,670.0,St.V.G.,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,99.0,St. Vincent and the Grenadines,670.0,13.167,-61.233,223.75,1906
213,VEN,VEN,862.0,Ven.,Venezuela,Venezuela,8953560.0,98.0,Venezuela,862.0,,,98.25,15374
214,VNM,VNM,704.0,Viet.,Vietnam,Vietnam,21974430.0,96.0,Vietnam,704.0,,,130.25,318078
215,VUT,VUT,548.0,Van.,Vanuatu,Vanuatu,99360.0,75.0,Vanuatu,548.0,,,49.25,1
216,WSM,WSM,882.0,Samoa,Samoa,Samoa,72520.0,95.0,Samoa,882.0,-13.833,-171.75,216.25,1784980
217,YEM,YEM,887.0,Yem.,Yemen,Yemen,11300000.0,76.0,Yemen,887.0,,,220.5,11450
218,ZAF,ZAF,710.0,S.Af.,South Africa,South Africa,16447930.0,78.0,South Africa,710.0,,,58.0,6777300
219,ZMB,ZMB,894.0,Zambia,Zambia,Zambia,7692300.0,99.0,Zambia,894.0,,,120.5,732
220,ZWE,ZWE,716.0,Zimb.,Zimbabwe,Zimbabwe,6777300.0,94.0,Zimbabwe,716.0,,,14.5,75202
