,ISO_A3,ADM0_DIF,LEVEL,ADM0_A3,ADM0_A3_IS,GU_A3,ISO_N3,TYPE,GEOUNIT,ABBREV,NAME,NAME_LONG,ISOA3_GUA3
170,MLI,0.0,2.0,MLI,MLI,MLI,466,Sovereign country,Mali,Mali,Mali,Mali,MLI
171,MLT,0.0,2.0,MLT,MLT,MLT,470,Sovereign country,Malta,Malta,Malta,Malta,MLT
172,MMR,0.0,2.0,MMR,MMR,MMR,104,Sovereign country,Myanmar,Myan.,Myanmar,Myanmar,MMR
173,MNE,0.0,2.0,MNE,MNE,MNE,499,Sovereign country,Montenegro,Mont.,Montenegro,Montenegro,MNE
174,MNG,0.0,2.0,MNG,MNG,MNG,496,Sovereign country,Mongolia,Mong.,Mongolia,Mongolia,MNG
175,MNP,1.0,2.0,MNP,MNP,MNP,580,Dependency,Northern Mariana Islands,N.M.I.,N. Mariana Is.,Northern Mariana Islands,MNP
176,MOZ,0.0,2.0,MOZ,MOZ,MOZ,508,Sovereign country,Mozambique,Moz.,Mozambique,Mozambique,MOZ
177,-99,1.0,3.0,UMI,MQI,MQI,-99,Geo unit,Midway Islands,Mid. Is.,Midway Is.,Midway Islands,MQI
178,MRT,0.0,2.0,MRT,MRT,MRT,478,Sovereign country,Mauritania,Mrt.,Mauritania,Mauritania,MRT
179,MSR,1.0,2.0,MSR,MSR,MSR,500,Dependency,Montserrat,Monts.,Montserrat,Montserrat,MSR
180,MTQ,1.0,3.0,FRA,MTQ,MTQ,474,Geo unit,Martinique,Mtq.,Martinique,Martinique,MTQ
181,MUS,0.0,2.0,MUS,MUS,MUS,480,Sovereign country,Mauritius,Mus.,Mauritius,Mauritius,MUS
182,MWI,0.0,2.0,MWI,MWI,MWI,454,Sovereign country,Malawi,Mal.,Malawi,Malawi,MWI
183,MYS,0.0,2.0,MYS,MYS,MYS,458,Sovereign country,Malaysia,Malay.,Malaysia,Malaysia,MYS
184,MYT,1.0,3.0,FRA,MYT,MYT,175,Geo unit,Mayotte,Myt.,Mayotte,Mayotte,MYT
185,NAM,0.0,2.0,NAM,NAM,NAM,516,Sovereign country,Namibia,Nam.,Namibia,Namibia,NAM
186,NCL,1.0,2.0,NCL,NCL,NCL,540,Dependency,New Caledonia,New C.,New Caledonia,New Caledonia,NCL
187,NER,0.0,2.0,NER,NER,NER,562,Sovereign country,Niger,Niger,Niger,Niger,NER
188,NFK,1.0,2.0,NFK,NFK,NFK,574,Dependency,Norfolk Island,Nfk. I.,Norfolk Island,Norfolk Island,NFK
189,NGA,0.0,2.0,NGA,NGA,NGA,566,Sovereign country,Nigeria,Nigeria,Nigeria,Nigeria,NGA
190,NIC,0.0,2.0,NIC,NIC,NIC,558,Sovereign country,Nicaragua,Nic.,Nicaragua,Nicaragua,NIC
191,-99,1.0,3.0,GBR,-99,NIR,-99,Geo unit,Northern Ireland,N.Ire.,N. Ireland,Northern Ireland,GBR
192,NIU,1.0,2.0,NIU,NIU,NIU,570,Dependency,Niue,Niue,Niue,Niue,NIU
193,-99,0.0,3.0,NOR,SJM,NJM,-99,Geo unit,Jan Mayen,J.M.,Jan Mayen I.,Jan Mayen Island,NOR
194,-99,1.0,3.0,NLD,NLD,NLX,-99,Geo core,Netherlands,Neth.,Netherlands,Netherlands,NLD
195,BES,1.0,3.0,NLD,BES,NLY,535,Geo unit,Caribbean Netherlands,BES Is.,Caribbean Netherlands,Caribbean Netherlands,BES
196,NOR,0.0,3.0,NOR,NOR,NOW,578,Geo unit,Norway,Nor.,Norway,Norway,NOR
197,NPL,0.0,2.0,NPL,NPL,NPL,524,Sovereign country,Nepal,Nepal,Nepal,Nepal,NPL
198,NRU,0.0,2.0,NRU,NRU,NRU,520,Sovereign country,Nauru,Nauru,Nauru,Nauru,NRU
199,SJM,0.0,3.0,NOR,SJM,NSV,-99,Geo unit,Svalbard,Sval.,Svalbard Is.,Svalbard Islands,SJM
200,NZL,1.0,2.0,NZL,NZL,NZL,554,Country,New Zealand,N.Z.,New Zealand,New Zealand,NZL
201,OMN,0.0,2.0,OMN,OMN,OMN,512,Sovereign country,Oman,Oman,Oman,Oman,OMN
202,PAK,0.0,2.0,PAK,PAK,PAK,586,Sovereign country,Pakistan,Pak.,Pakistan,Pakistan,PAK
203,PAN,0.0,2.0,PAN,PAN,PAN,591,Sovereign country,Panama,Pan.,Panama,Panama,PAN
204,-99,0.0,3.0,PRT,-99,PAZ,-99,Geo unit,Azores,Az.,Azores,Azores,PRT
205,PCN,1.0,2.0,PCN,PCN,PCN,612,Dependency,Pitcairn Islands,Pit. Is.,Pitcairn Is.,Pitcairn Islands,PCN
206,PER,0.0,2.0,PER,PER,PER,604,Sovereign country,Peru,Peru,Peru,Peru,PER
207,-99,1.0,3.0,CHN,-99,PFA,-99,Geo unit,Paracel Islands,Par. Is.,Paracel Is.,Paracel Islands,CHN
208,-99,0.0,2.0,PGA,-99,PGA,-99,Indeterminate,Spratly Islands,Spratly Is.,Spratly Is.,Spratly Islands,None
209,PHL,0.0,2.0,PHL,PHL,PHL,608,Sovereign country,Philippines,Phil.,Philippines,Philippines,PHL
210,PLW,0.0,2.0,PLW,PLW,PLW,585,Sovereign country,Palau,Palau,Palau,Palau,PLW
211,-99,0.0,3.0,PRT,-99,PMD,-99,Geo unit,Madeira,Mad.,Madeira,Madeira,PRT
212,-99,0.0,3.0,PNG,PNG,PNB,-99,Geo unit,Bougainville,Boug.,Bougainville,Bougainville,PNG
